probe,symbol,locus.link,fold.change,EntrezGene.ID,probe.name,Alignment.score,Length.of.probe,NCBI.gene.symbol,HUGO.gene.symbol,Cytoband,Alternative.symbols,Description
1568513_x_at,NA,NA,0.08123,NA,NA,NA,NA,NA,NA,NA,NA,NA
215071_s_at,NA,NA,0.280448,NA,NA,NA,NA,NA,NA,NA,NA,NA
232947_at,NA,NA,0.082819,NA,NA,NA,NA,NA,NA,NA,NA,NA
230779_at,NA,NA,0.193696,23112,230779_at,11,11,TNRC6B,TNRC6B,22q13.1,KIAA1093,trinucleotide repeat containing 6B
232478_at,NA,NA,0.117057,NA,NA,NA,NA,NA,NA,NA,NA,NA
241464_s_at,NA,NA,0.300444,NA,NA,NA,NA,NA,NA,NA,NA,NA
229872_s_at,NA,NA,0.430563,NA,NA,NA,NA,NA,NA,NA,NA,NA
243712_at,NA,NA,0.278586,NA,NA,NA,NA,NA,NA,NA,NA,NA
1570425_s_at,NA,NA,0.228688,9113,1570425_s_at,11,11,LATS1,LATS1,6q24-q25.1,WARTS|wts,"LATS, large tumor suppressor, homolog 1 (Drosophila)"
236656_s_at,NA,NA,0.32802,NA,NA,NA,NA,NA,NA,NA,NA,NA
240245_at,NA,NA,0.189673,NA,NA,NA,NA,NA,NA,NA,NA,NA
216867_s_at,NA,377602,0.117666,5154,216867_s_at,11,11,PDGFA,PDGFA,7p22,PDGF-A|PDGF1,platelet-derived growth factor alpha polypeptide
232034_at,NA,NA,0.220813,NA,NA,NA,NA,NA,NA,NA,NA,NA
229004_at,NA,NA,0.188701,NA,NA,NA,NA,NA,NA,NA,NA,NA
1559360_at,NA,NA,0.209794,NA,NA,NA,NA,NA,NA,NA,NA,NA
234951_s_at,NA,NA,0.204193,1303,234951_s_at,11,11,COL12A1,COL12A1,6q12-q13,BA209D8.1|COL12A1L|DJ234P15.1,"collagen, type XII, alpha 1"
227449_at,NA,NA,0.149678,2043,227449_at,11,11,EPHA4,EPHA4,2q36.1,HEK8|SEK|TYRO1,EPH receptor A4
209908_s_at,NA,376709,0.116595,NA,NA,NA,NA,NA,NA,NA,NA,NA
